company_name,job_title,location,country,work_type,employment_type,seniority_level,department,job_url,source_site,date_posted,salary,visa_sponsorship,requires_degree,technical_category,relevance_score,keep_or_reject,rejection_reason,short_summary,required_skills,preferred_skills
Airbnb,"Senior Data Scientist, Platform (Integrity)",United States,USA,On-site,Unknown,Senior,Data Science,https://careers.airbnb.com/positions/7594971?gh_jid=7594971,Greenhouse,2026-02-06T14:17:52-05:00,Unknown,Unknown,Unknown,Data Science / ML,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&lt;/strong",,
Airbnb,"Senior Data Scientist, Pricing","Remote, United States",USA,Remote,Unknown,Senior,Data Science,https://careers.airbnb.com/positions/7662244?gh_jid=7662244,Greenhouse,2026-02-27T14:21:04-05:00,Unknown,Unknown,Unknown,Data Science / ML,75,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&lt;/strong",,
Airbnb,"Senior Frontend Engineer, GraphQL & Networking Platform",United States,USA,On-site,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7358446?gh_jid=7358446,Greenhouse,2026-03-10T15:34:21-04:00,Unknown,Unknown,Unknown,Frontend Engineering,77,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&lt;/strong",,
Airbnb,"Senior Frontend  Engineer, Guest & Host","Remote, USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7697962?gh_jid=7697962,Greenhouse,2026-03-11T11:19:13-04:00,Unknown,Unknown,Unknown,Frontend Engineering,73,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Frontend Engineer, Reliability Experience","Brazil - Remote, São Paulo, Brazil",Remote / Global,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7378231?gh_jid=7378231,Greenhouse,2026-02-11T18:05:28-05:00,Unknown,Unknown,Unknown,Frontend Engineering,73,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Fullstack Engineer, App Foundation",China,Unknown,On-site,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7551863?gh_jid=7551863,Greenhouse,2026-01-23T00:45:22-05:00,Unknown,Unknown,Unknown,Full Stack Development,73,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&lt;/strong",,
Airbnb,"Senior Fullstack Engineer, Trust","Remote, USA , United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7381159?gh_jid=7381159,Greenhouse,2026-02-09T16:42:10-05:00,Unknown,Unknown,Unknown,Full Stack Development,73,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,Senior iOS Automation Engineer,Brazil - Remote,Remote / Global,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7453190?gh_jid=7453190,Greenhouse,2026-03-12T14:33:40-04:00,Unknown,Unknown,Unknown,QA / Test Automation,72,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;The Community You Will Join:&amp;nbsp;&",,
Airbnb,"Senior Machine Learning Engineer, Community Support Engineering","Remote- USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7560504?gh_jid=7560504,Greenhouse,2026-02-26T12:37:38-05:00,Unknown,Unknown,Unknown,Data Science / ML,79,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
Airbnb,"Senior Machine Learning Engineer, Listing and Host Tools Data and AI","Remote-USA, United States",USA,Remote,Unknown,Senior,Software Engineering,https://careers.airbnb.com/positions/7623458?gh_jid=7623458,Greenhouse,2026-02-27T15:07:34-05:00,Unknown,Unknown,Unknown,Data Science / ML,79,Keep,,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;span style=&quot;font-family: helvetica, arial, sans-serif; font-size: 12pt;&quot;&gt;Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.&lt;/span&gt;&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;span style=&quot;font-family: arial, helvetica, s",,
